,ticker,company
554,2903.TW,遠百
555,2904.TW,匯僑
556,2905.TW,三商
557,2906.TW,高林
558,2908.TW,特力
559,2910.TW,統領
560,2911.TW,麗嬰房
561,2912.TW,統一超
562,2913.TW,農林
563,2915.TW,潤泰全
564,2923.TW,鼎固-KY
565,2929.TW,淘帝-KY
566,2936.TW,客思達-KY
567,2939.TW,凱羿-KY
568,3002.TW,歐格
569,3003.TW,健和興
570,3004.TW,豐達科
571,3005.TW,神基
572,3006.TW,晶豪科
573,3008.TW,大立光
574,3010.TW,華立
575,3011.TW,今皓
576,3013.TW,晟銘電
577,3014.TW,聯陽
578,3015.TW,全漢
579,3016.TW,嘉晶
580,3017.TW,奇鋐
581,3018.TW,同開
582,3019.TW,亞光
583,3021.TW,鴻名
584,3022.TW,威強電
585,3023.TW,信邦
586,3024.TW,憶聲
587,3025.TW,星通
588,3026.TW,禾伸堂
589,3027.TW,盛達
590,3028.TW,增你強
591,3029.TW,零壹
592,3030.TW,德律
593,3031.TW,佰鴻
594,3032.TW,偉訓
595,3033.TW,威健
596,3034.TW,聯詠
597,3035.TW,智原
598,3036.TW,文曄
599,3037.TW,欣興
600,3038.TW,全台
601,3040.TW,遠見
602,3041.TW,揚智
603,3042.TW,晶技
604,3043.TW,科風
605,3044.TW,健鼎
606,3045.TW,台灣大
607,3046.TW,建碁
608,3047.TW,訊舟
609,3048.TW,益登
610,3049.TW,和鑫
611,3050.TW,鈺德
612,3051.TW,力特
613,3052.TW,夆典
614,3054.TW,立萬利
615,3055.TW,蔚華科
616,3056.TW,總太
617,3057.TW,喬鼎
618,3058.TW,立德
619,3059.TW,華晶科
620,3060.TW,銘異
621,3062.TW,建漢
622,3090.TW,日電貿
623,3094.TW,聯傑
624,3130.TW,一零四
625,3149.TW,正達
626,3164.TW,景岳
627,3167.TW,大量
628,3189.TW,景碩
629,3209.TW,全科
630,3229.TW,晟鈦
631,3231.TW,緯創
632,3257.TW,虹冠電
633,3266.TW,昇陽
634,3296.TW,勝德
635,3305.TW,昇貿
636,3308.TW,聯德
637,3311.TW,閎暉
638,3312.TW,弘憶股
639,3321.TW,同泰
640,3338.TW,泰碩
641,3346.TW,麗清
642,3356.TW,奇偶
643,3376.TW,新日興
644,3380.TW,明泰
645,3383.TW,新世紀
646,3406.TW,玉晶光
647,3413.TW,京鼎
648,3416.TW,融程電
649,3419.TW,譁裕
650,3432.TW,台端
651,3437.TW,榮創
652,3443.TW,創意
653,3450.TW,聯鈞
654,3454.TW,晶睿
655,3481.TW,群創
656,3494.TW,誠研
657,3501.TW,維熹
658,3504.TW,揚明光
659,3515.TW,華擎
660,3518.TW,柏騰
661,3528.TW,安馳
662,3530.TW,晶相光
663,3532.TW,台勝科
664,3533.TW,嘉澤
665,3535.TW,晶彩科
666,3536.TW,誠創
667,3543.TW,州巧
668,3545.TW,敦泰
669,3550.TW,聯穎
670,3557.TW,嘉威
671,3563.TW,牧德
672,3576.TW,聯合再生
673,3583.TW,辛耘
674,3588.TW,通嘉
675,3591.TW,艾笛森
676,3593.TW,力銘
677,3596.TW,智易
678,3605.TW,宏致
679,3607.TW,谷崧
680,3617.TW,碩天
681,3622.TW,洋華
682,3645.TW,達邁
683,3653.TW,健策
684,3661.TW,世芯-KY
685,3665.TW,貿聯-KY
686,3669.TW,圓展
687,3673.TW,TPK-KY
688,3679.TW,新至陞
689,3682.TW,亞太電
690,3686.TW,達能
691,3694.TW,海華
692,3701.TW,大眾控
693,3702.TW,大聯大
694,3703.TW,欣陸
695,3704.TW,合勤控
696,3705.TW,永信
697,3706.TW,神達
698,3708.TW,上緯投控
699,3711.TW,日月光投控
700,3712.TW,永崴投控
701,4104.TW,佳醫
702,4106.TW,雃博
703,4108.TW,懷特
704,4119.TW,旭富
705,4133.TW,亞諾法
706,4137.TW,麗豐-KY
707,4141.TW,龍燈-KY
708,4142.TW,國光生
709,4148.TW,全宇生技-KY
710,4155.TW,訊映
711,4164.TW,承業醫
712,4190.TW,佐登-KY
713,4306.TW,炎洲
714,4414.TW,如興
715,4426.TW,利勤
716,4438.TW,廣越
717,4439.TW,冠星-KY
718,4526.TW,東台
719,4532.TW,瑞智
720,4536.TW,拓凱
721,4540.TW,全球傳動
722,4545.TW,銘鈺
723,4551.TW,智伸科
724,4552.TW,力達-KY
725,4555.TW,氣立
726,4557.TW,永新-KY
727,4560.TW,強信-KY
728,4562.TW,穎漢
729,4564.TW,元翎
730,4566.TW,時碩工業
731,4571.TW,鈞興-KY
732,4572.TW,駐龍
733,4576.TW,大銀微系統
734,4581.TW,光隆精密-KY
735,4720.TW,德淵
736,4722.TW,國精化
737,4737.TW,華廣
738,4739.TW,康普
739,4746.TW,台耀
740,4755.TW,三福化
741,4763.TW,材料-KY
742,4764.TW,雙鍵
743,4766.TW,南寶
744,4807.TW,日成-KY
745,4904.TW,遠傳
746,4906.TW,正文
747,4912.TW,聯德控股-KY
748,4915.TW,致伸
749,4916.TW,事欣科
750,4919.TW,新唐
751,4927.TW,泰鼎-KY
752,4930.TW,燦星網
753,4934.TW,太極
754,4935.TW,茂林-KY
755,4938.TW,和碩
756,4942.TW,嘉彰
757,4943.TW,康控-KY
758,4952.TW,凌通
759,4956.TW,光鋐
760,4958.TW,臻鼎-KY
761,4960.TW,誠美材
762,4961.TW,天鈺
763,4967.TW,十銓
764,4968.TW,立積
765,4976.TW,佳凌
766,4977.TW,眾達-KY
767,4989.TW,榮科
768,4994.TW,傳奇
769,4999.TW,鑫禾
770,5007.TW,三星
771,5203.TW,訊連
772,5215.TW,科嘉-KY
773,5225.TW,東科-KY
774,5234.TW,達興材料
775,5243.TW,乙盛-KY
776,5258.TW,虹堡
777,5269.TW,祥碩
778,5283.TW,禾聯碩
779,5284.TW,jpp-KY
780,5285.TW,界霖
781,5288.TW,豐祥-KY
782,5388.TW,中磊
783,5434.TW,崇越
784,5469.TW,瀚宇博
785,5471.TW,松翰
786,5484.TW,慧友
787,5515.TW,建國
788,5519.TW,隆大
789,5521.TW,工信
790,5522.TW,遠雄
791,5525.TW,順天
792,5531.TW,鄉林
793,5533.TW,皇鼎
794,5534.TW,長虹
795,5538.TW,東明-KY
796,5546.TW,永固-KY
797,5607.TW,遠雄港
798,5608.TW,四維航
799,5706.TW,鳳凰
800,5871.TW,中租-KY
801,5876.TW,上海商銀
802,5880.TW,合庫金
803,5906.TW,台南-KY
804,5907.TW,大洋-KY
805,6005.TW,群益證
806,6024.TW,群益期
807,6108.TW,競國
808,6112.TW,聚碩
809,6115.TW,鎰勝
810,6116.TW,彩晶
811,6117.TW,迎廣
812,6120.TW,達運
813,6128.TW,上福
814,6133.TW,金橋
815,6136.TW,富爾特
816,6139.TW,亞翔
817,6141.TW,柏承
818,6142.TW,友勁
819,6152.TW,百一
820,6153.TW,嘉聯益
821,6155.TW,鈞寶
822,6164.TW,華興
823,6165.TW,捷泰
824,6166.TW,凌華
825,6168.TW,宏齊
826,6172.TW,互億
827,6176.TW,瑞儀
828,6177.TW,達麗
829,6183.TW,關貿
830,6184.TW,大豐電
831,6189.TW,豐藝
